"MP","club","firstName","lastName","listVotes.AST MAREK","listVotes.GASIUK-PIHOWICZ KAMILA","listVotes.KOWNACKI BARTOSZ JÓZEF","listVotes.KROPIWNICKI ROBERT","listVotes.MULARCZYK ARKADIUSZ","listVotes.SMOLIŃSKI KAZIMIERZ","listVotes.ZIMOCH TOMASZ FRANCISZEK","listVotes.ŻUKOWSKA ANNA MARIA","secondName","vote"
  1,"PiS","Andrzej","Adamczyk",YES,NO,YES,NO,YES,YES,NO,NO,"Mieczysław","VOTE_VALID"
  2,"KO","Piotr","Adamowicz",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
  3,"PiS","Adam","Andruszkiewicz",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
  4,"PiS","Waldemar","Andzel",YES,NO,YES,NO,YES,YES,NO,NO,"Franciszek","VOTE_VALID"
  5,"PiS","Dorota","Arciszewska-Mielewczyk",YES,NO,YES,NO,YES,YES,NO,NO,"Irvina","VOTE_VALID"
  6,"PiS","Jan","Ardanowski",YES,NO,YES,NO,YES,YES,NO,NO,"Krzysztof","VOTE_VALID"
  7,"PiS","Iwona","Arent",YES,NO,YES,NO,YES,YES,NO,NO,"Ewa","VOTE_VALID"
  8,"KO","Bartosz","Arłukowicz",NO,YES,NO,YES,NO,NO,YES,YES,"Adam","VOTE_VALID"
  9,"PiS","Marek","Ast",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
 10,"KO","Urszula","Augustyn",NO,YES,NO,YES,NO,NO,YES,YES,NA,"VOTE_VALID"
 11,"PiS","Piotr","Babinetz",YES,NO,YES,NO,YES,YES,NO,NO,"Mieczysław","VOTE_VALID"
 12,"PiS","Ryszard","Bartosik",YES,NO,YES,NO,YES,YES,NO,NO,NA,"VOTE_VALID"
 13,"PSL-TD","Władysław","Bartoszewski",NO,YES,NO,YES,NO,NO,YES,YES,"Teofil","VOTE_VALID"
 14,"PiS","Barbara","Bartuś",YES,NO,YES,NO,YES,YES,NO,NO,"Halina","VOTE_VALID"
